label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
repeat,0.2407243251800537,0.7452746629714966,5.801591100862424e-07,0.27094513177871704,0.7160099744796753,-0.03721035271883011,0.2712172269821167,0.6715089678764343,-0.054239869117736816,0.23445993661880493,0.635718822479248,-0.06860891729593277,0.1990325003862381,0.6093209981918335,-0.08109389990568161,0.27792131900787354,0.5643556714057922,-0.026453444734215736,0.29887521266937256,0.49181073904037476,-0.0484229177236557,0.3117533326148987,0.44404420256614685,-0.0627770721912384,0.3203888535499573,0.40324294567108154,-0.07112017273902893,0.2430221289396286,0.558491587638855,-0.021599309518933296,0.22790154814720154,0.47602635622024536,-0.04681212082505226,0.21345606446266174,0.42281806468963623,-0.06396544724702835,0.2019694745540619,0.37843576073646545,-0.0719493180513382,0.2150099277496338,0.5780008435249329,-0.02081514336168766,0.18694855272769928,0.5553324818611145,-0.058097392320632935,0.18482141196727753,0.5980150103569031,-0.07140406966209412,0.1882534623146057,0.6321502327919006,-0.06901124119758606,0.19226379692554474,0.610731303691864,-0.022339239716529846,0.17025479674339294,0.5928069353103638,-0.051475901156663895,0.1702771782875061,0.6208149790763855,-0.0568813718855381,0.17668989300727844,0.6480016708374023,-0.05329006537795067
repeat,0.23949314653873444,0.746334969997406,5.79581012516428e-07,0.2689283788204193,0.7178449630737305,-0.03741416707634926,0.269560843706131,0.6732802987098694,-0.0545409731566906,0.23385201394557953,0.6386300325393677,-0.0691707655787468,0.199391707777977,0.6122886538505554,-0.08188571780920029,0.2763234078884125,0.5663523077964783,-0.02613993175327778,0.29663628339767456,0.4944189190864563,-0.048662323504686356,0.30958622694015503,0.44692638516426086,-0.0632496178150177,0.3186638057231903,0.40647411346435547,-0.07164838910102844,0.24190516769886017,0.5606944561004639,-0.02132401056587696,0.22613315284252167,0.4790130853652954,-0.04730957746505737,0.21169938147068024,0.4260794520378113,-0.06473075598478317,0.20023223757743835,0.38178664445877075,-0.07269393652677536,0.21416640281677246,0.5798494219779968,-0.020718615502119064,0.18442222476005554,0.5576947331428528,-0.0587989017367363,0.18268147110939026,0.6002930402755737,-0.07227738201618195,0.18678203225135803,0.6343035101890564,-0.06976093351840973,0.19186490774154663,0.6117302775382996,-0.02247515507042408,0.16873663663864136,0.595891535282135,-0.05199576914310455,0.16825804114341736,0.6231634616851807,-0.057828497141599655,0.1742081344127655,0.6487837433815002,-0.05448989197611809
repeat,0.2388886660337448,0.749835193157196,5.865596790499694e-07,0.26886361837387085,0.7217028737068176,-0.03970697149634361,0.2691681683063507,0.6765395402908325,-0.057092562317848206,0.2328423112630844,0.6399166584014893,-0.07131920009851456,0.19724267721176147,0.6126646995544434,-0.08363363146781921,0.2756101191043854,0.5681861639022827,-0.026948412880301476,0.2955804765224457,0.496261864900589,-0.04860489442944527,0.30839043855667114,0.44867435097694397,-0.06312653422355652,0.3171096444129944,0.40824568271636963,-0.07187043130397797,0.24095113575458527,0.5630243420600891,-0.020661547780036926,0.22514608502388,0.4817883372306824,-0.045783087611198425,0.21022306382656097,0.428446888923645,-0.06376476585865021,0.1985308825969696,0.3844744563102722,-0.07262668013572693,0.21343401074409485,0.5830152034759521,-0.018791507929563522,0.18372689187526703,0.5590789318084717,-0.056356459856033325,0.1804257035255432,0.598730742931366,-0.07188982516527176,0.183790922164917,0.6321310997009277,-0.07130872458219528,0.19111981987953186,0.6159301996231079,-0.019379330798983574,0.16741837561130524,0.5989620685577393,-0.0495552234351635,0.1660822331905365,0.6245546936988831,-0.05755884200334549,0.1717900037765503,0.6505671739578247,-0.056086260825395584
repeat,0.2364991009235382,0.7515222430229187,5.796276241198939e-07,0.2676556408405304,0.7233535647392273,-0.03755378723144531,0.26880449056625366,0.6777427792549133,-0.054352689534425735,0.2327623963356018,0.6413558125495911,-0.06838375329971313,0.19847466051578522,0.6134606599807739,-0.08044516295194626,0.27315258979797363,0.5696049928665161,-0.02527068927884102,0.29361778497695923,0.49804285168647766,-0.04683402180671692,0.3063610792160034,0.45046210289001465,-0.06099667400121689,0.3151678442955017,0.4102731943130493,-0.06920706480741501,0.23856377601623535,0.5642086267471313,-0.020222583785653114,0.22343003749847412,0.4828861951828003,-0.0450056754052639,0.20860646665096283,0.42996448278427124,-0.06191482022404671,0.19682547450065613,0.386425256729126,-0.06957684457302094,0.21128098666667938,0.583891749382019,-0.019404005259275436,0.18186843395233154,0.5606980323791504,-0.056627754122018814,0.17971976101398468,0.6023868918418884,-0.06999554485082626,0.1837032437324524,0.6361950039863586,-0.06752955913543701,0.18932831287384033,0.6168646216392517,-0.020912008360028267,0.16587059199810028,0.599457859992981,-0.05031733214855194,0.1663476526737213,0.6272373795509338,-0.056001633405685425,0.17363093793392181,0.6539076566696167,-0.052457984536886215
repeat,0.23776225745677948,0.7518026828765869,5.499684903043089e-07,0.26740995049476624,0.7231141328811646,-0.03798174113035202,0.2681737542152405,0.6772825717926025,-0.054687708616256714,0.23212391138076782,0.6390828490257263,-0.06854445487260818,0.19667208194732666,0.6122491955757141,-0.08060745894908905,0.27334487438201904,0.570895791053772,-0.02507801353931427,0.2925744354724884,0.4998669922351837,-0.045631442219018936,0.30443328619003296,0.4531590938568115,-0.05968719720840454,0.3123754858970642,0.4139428734779358,-0.0682988315820694,0.23906473815441132,0.5665315985679626,-0.01933649554848671,0.22366327047348022,0.4871473014354706,-0.042917877435684204,0.2087225615978241,0.435213565826416,-0.06011267378926277,0.19667057693004608,0.3922622501850128,-0.06882673501968384,0.21210667490959167,0.5870003700256348,-0.01778917945921421,0.18300481140613556,0.5607443451881409,-0.05280294269323349,0.18166185915470123,0.5989289283752441,-0.06720525026321411,0.18639466166496277,0.6314363479614258,-0.06675703823566437,0.19024933874607086,0.6205143928527832,-0.01869095116853714,0.16582275927066803,0.6020427942276001,-0.04700973257422447,0.16631312668323517,0.6275370121002197,-0.05414025858044624,0.1740531474351883,0.6537203788757324,-0.052497588098049164
repeat,0.23686987161636353,0.7485923171043396,5.757560757047031e-07,0.2653798460960388,0.7222410440444946,-0.038009773939847946,0.2657907009124756,0.6781067848205566,-0.05512123554944992,0.23141072690486908,0.6424739360809326,-0.06954415887594223,0.19648495316505432,0.616321325302124,-0.08222867548465729,0.2720524072647095,0.5719038248062134,-0.025711681693792343,0.2916046380996704,0.5019496083259583,-0.047297682613134384,0.3039816617965698,0.45520174503326416,-0.06173192709684372,0.31267639994621277,0.4156755208969116,-0.07019456475973129,0.23827144503593445,0.5670183300971985,-0.020212506875395775,0.2230430245399475,0.4884328842163086,-0.04506136104464531,0.20804886519908905,0.43651703000068665,-0.06221109256148338,0.196327805519104,0.39348483085632324,-0.07027243822813034,0.21123170852661133,0.5863890647888184,-0.018974050879478455,0.18225160241127014,0.564400315284729,-0.05542343854904175,0.18030868470668793,0.6047670245170593,-0.06891824305057526,0.18475396931171417,0.6373562216758728,-0.06701094657182693,0.18956346809864044,0.6182578206062317,-0.020179953426122665,0.16529536247253418,0.6015896797180176,-0.04868330806493759,0.1658533811569214,0.6285901069641113,-0.05443872511386871,0.1735461801290512,0.6545640230178833,-0.05135861784219742
repeat,0.23802444338798523,0.7479416728019714,5.712321922146657e-07,0.2657056748867035,0.7204038500785828,-0.038367584347724915,0.26501497626304626,0.6753923892974854,-0.05496260151267052,0.22890403866767883,0.6401142477989197,-0.06859807670116425,0.1940157264471054,0.6144708395004272,-0.08052179217338562,0.2711102366447449,0.5720757246017456,-0.025035934522747993,0.29029038548469543,0.5032309293746948,-0.046051058918237686,0.3025030493736267,0.45695188641548157,-0.060322701930999756,0.31107231974601746,0.4183284640312195,-0.06885432451963425,0.23737776279449463,0.5678038597106934,-0.01901240460574627,0.22148993611335754,0.48968732357025146,-0.04318968951702118,0.20664101839065552,0.43787911534309387,-0.0604219064116478,0.19505058228969574,0.39507782459259033,-0.06878448277711868,0.21085375547409058,0.587958812713623,-0.017345063388347626,0.18142899870872498,0.5654206871986389,-0.053336720913648605,0.17966607213020325,0.6042847037315369,-0.06767342239618301,0.18442657589912415,0.6358165740966797,-0.06662973016500473,0.18927358090877533,0.6208109855651855,-0.01809404417872429,0.16483192145824432,0.6039546132087708,-0.04673667624592781,0.1654011756181717,0.6300528049468994,-0.05347919091582298,0.17339129745960236,0.6552102565765381,-0.05132131651043892
repeat,0.23612922430038452,0.7508145570755005,5.716315740755817e-07,0.26346874237060547,0.7224547863006592,-0.03801544010639191,0.26107898354530334,0.6775878667831421,-0.05459538474678993,0.22585073113441467,0.640689492225647,-0.06823790818452835,0.18991690874099731,0.6159627437591553,-0.08027390390634537,0.26879075169563293,0.575229287147522,-0.025200797244906425,0.2882670760154724,0.5039302110671997,-0.04571216553449631,0.30053746700286865,0.45766857266426086,-0.06003465875983238,0.3085019588470459,0.41818538308143616,-0.06880902498960495,0.2354620397090912,0.5710273385047913,-0.01888998970389366,0.2204769402742386,0.4923001229763031,-0.042778246104717255,0.20602916181087494,0.4410497546195984,-0.060280606150627136,0.19419531524181366,0.39742109179496765,-0.06904447078704834,0.20918412506580353,0.5910977125167847,-0.016667595133185387,0.18044061958789825,0.5665913820266724,-0.05177515000104904,0.17921628057956696,0.6060324311256409,-0.0656767189502716,0.18372559547424316,0.6378965973854065,-0.0645654946565628,0.187657430768013,0.6238064169883728,-0.016783248633146286,0.1651369333267212,0.6025547981262207,-0.04418224096298218,0.16569486260414124,0.6293701529502869,-0.04967987537384033,0.173277348279953,0.656249463558197,-0.04684741050004959
repeat,0.23379136621952057,0.7523823976516724,5.71580017094675e-07,0.2603916823863983,0.7243013978004456,-0.03789335489273071,0.2593473792076111,0.6786883473396301,-0.054337047040462494,0.22483985126018524,0.6414809226989746,-0.06758354604244232,0.19018134474754333,0.6152507066726685,-0.0788407027721405,0.2660747170448303,0.5755497813224792,-0.025597689673304558,0.28566181659698486,0.5048783421516418,-0.045842453837394714,0.2975879907608032,0.458882212638855,-0.05923186242580414,0.3056738078594208,0.41990435123443604,-0.06703153252601624,0.23310568928718567,0.5717213153839111,-0.01935098133981228,0.2171456664800644,0.4929918348789215,-0.043074481189250946,0.2025444358587265,0.4422665238380432,-0.059660620987415314,0.1912241131067276,0.40056830644607544,-0.06733318418264389,0.2068871259689331,0.5912001729011536,-0.017234330996870995,0.17820574343204498,0.5699880123138428,-0.05283607169985771,0.17430932819843292,0.6084409952163696,-0.0665377825498581,0.17632856965065002,0.6398321390151978,-0.06484892219305038,0.18629315495491028,0.6220154762268066,-0.01743146777153015,0.16372710466384888,0.6042723655700684,-0.04526425153017044,0.16204440593719482,0.6294109225273132,-0.051142435520887375,0.16619597375392914,0.653569757938385,-0.04826025292277336
repeat,0.2325725257396698,0.7527806162834167,5.512445682143152e-07,0.25907284021377563,0.7236994504928589,-0.03681071847677231,0.2581787109375,0.6790814995765686,-0.05301983281970024,0.22247569262981415,0.643468976020813,-0.06634899973869324,0.1889360249042511,0.6175228953361511,-0.07784296572208405,0.2648506462574005,0.5763007402420044,-0.025161126628518105,0.28371715545654297,0.5059964060783386,-0.045682553201913834,0.2950989305973053,0.46027737855911255,-0.0593026727437973,0.30234208703041077,0.4218906760215759,-0.06732158362865448,0.23114855587482452,0.5726222395896912,-0.019704315811395645,0.2149951159954071,0.493926078081131,-0.043682921677827835,0.19990235567092896,0.4436553120613098,-0.060494787991046906,0.1878078281879425,0.4020281434059143,-0.06842854619026184,0.2044515162706375,0.5925682187080383,-0.018228838220238686,0.17651602625846863,0.5692055821418762,-0.053845055401325226,0.17481863498687744,0.6094622015953064,-0.06700316816568375,0.17846684157848358,0.6415385603904724,-0.06507425755262375,0.18306699395179749,0.6249171495437622,-0.018990803509950638,0.16037900745868683,0.6056053638458252,-0.047033995389938354,0.16007936000823975,0.6322051286697388,-0.052409060299396515,0.16597962379455566,0.6570994853973389,-0.049146346747875214
